badri	badri (dri): x1 は x2 (事)について悲しい / 落胆している; x2 は x1 を悲しませる https://jbovlaste.lojban.org/dict/badri
bajra	bajra (baj): x1 は x2 (表面)を x3 (肢)・ x4 (調子)で走る https://jbovlaste.lojban.org/dict/bajra
bakni	bakni (bak): x1 は x2 (種類)のウシ属動物 https://jbovlaste.lojban.org/dict/bakni
baktu	baktu: x1 は x2 (内容)・ x3 (素材)のバケツ / 桶 / 槽 https://jbovlaste.lojban.org/dict/baktu
balvi	balvi (bav): x1 は x2 よりも未来 / 後発; x1 は後者; x2 は前者 https://jbovlaste.lojban.org/dict/balvi
bancu	bancu (bac): x1 は x2 (境界 / 限度)を x3 (照合点)について x4 (性質 / 数量)だけ越している / 超えている https://jbovlaste.lojban.org/dict/bancu
banfi	banfi: x1 は x2 (種類)の両生綱 / 両生類動物 https://jbovlaste.lojban.org/dict/banfi
bangu	bangu (ban, bau): x1 は x2 (使用者)が x3 (概念 / 命題 / 文字列)を表すのに用いる言語; x2 は x1 語を話す https://jbovlaste.lojban.org/dict/bangu
banro	banro (ba'o): x1 は x2 (結果)に x3 (始原)から育つ / 育成する / 成長する https://jbovlaste.lojban.org/dict/banro
bapli	bapli (bap, bai): x1 (性質 / 力)は x2 (事)を引き起こす / もたらす https://jbovlaste.lojban.org/dict/bapli
barda	barda (bra): x1 は x2 (性質)に関して、 x3 (比較対象)の中で大きい https://jbovlaste.lojban.org/dict/barda
bartu	bartu (bar): x1 は x2 の外 / 外部 / 外側 https://jbovlaste.lojban.org/dict/bartu
bende	bende (bed, be'e): x1 は x2 (者達)・ x3 (引率者)からなる、 x4 (目的)のための仲間 / チーム / 乗組員 / バンド / 班 https://jbovlaste.lojban.org/dict/bende
benji	benji (bej, be'i): x1 は x2 を x3 (受け手)に x4 (起源 / 送信元)から x5 (方法 / 媒体)によって送る / 届ける https://jbovlaste.lojban.org/dict/benji
bersa	bersa (bes, be'a): x1 は x2 (親)の息子 https://jbovlaste.lojban.org/dict/bersa
berti	berti (ber): x1 は x2 にたいして x3 (照合枠)で北方 / 北側 https://jbovlaste.lojban.org/dict/berti
betfu	betfu (bef, be'u): x1 は x2 (本体)の腹 / 胴部 https://jbovlaste.lojban.org/dict/betfu
bevri	bevri (bev, bei): x1 は x2 (荷)を x3 (終点)に x4 (始点)から x5 (道筋)を通って運ぶ https://jbovlaste.lojban.org/dict/bevri
bilga	bilga (big): x1 は x2 (行為)を x3 (協定 / 契約 / 常識)のために遂行する義務を負っている; x1 は x2 をしなければならない https://jbovlaste.lojban.org/dict/bilga
bilma	bilma (bi'a): x1 は x2 (症状)の x3 (病)を患っている https://jbovlaste.lojban.org/dict/bilma
binxo	binxo (bix, bi'o): x1 は x2 に x3 (条件)の下で成る / 変身する https://jbovlaste.lojban.org/dict/binxo
birje	birje: x1 は x2 (起源)の発泡酒 / ビール / エール https://jbovlaste.lojban.org/dict/birje
birka	birka (bir): x1 は x2 (本体)の腕 https://jbovlaste.lojban.org/dict/birka
birti	birti (bit): x1 は x2 (命題)が真であると確信している https://jbovlaste.lojban.org/dict/birti
bitmu	bitmu (bim, bi'u): x1 は x2 ・ x3 を隔てる、 x4 (構造体)の壁 / 垣 / 塀 / フェンス https://jbovlaste.lojban.org/dict/bitmu
blabi	blabi (lab): x1 は白色 https://jbovlaste.lojban.org/dict/blabi
blanu	blanu (bla): x1 は青色 https://jbovlaste.lojban.org/dict/blanu
bloti	bloti (lot, blo): x1 は x2 (客 / 荷)・ x3 (原動力)の船 / ボート https://jbovlaste.lojban.org/dict/bloti
bolci	bolci (bol, boi): x1 は x2 (素材)の球体 / ボール; x1 は丸い https://jbovlaste.lojban.org/dict/bolci
botpi	botpi (bot, bo'i): x1 は x2 (内容)・ x3 (素材)・ x4 (栓 / 蓋)の瓶 / ボトル / 水筒 https://jbovlaste.lojban.org/dict/botpi
bridi	bridi (bri): x1 (du'u)は x2 (関係)を x3 (項の列 / 集合)について賓述を表す関係性 / 命題 https://jbovlaste.lojban.org/dict/bridi
briju	briju (bij): x1 は x2 (従業員)・ x3 (所)の職場 / 事務所 / 営業所 / 局 https://jbovlaste.lojban.org/dict/briju
broda	broda (rod): 代ブリディその1[x1 を始めとするPS全体が文脈次第] https://jbovlaste.lojban.org/dict/broda
brode	brode (bo'e): 代ブリディその2[x1 を始めとするPS全体が文脈次第] https://jbovlaste.lojban.org/dict/brode
brodi	brodi: 代ブリディその3[x1 を始めとするPS全体が文脈次第] https://jbovlaste.lojban.org/dict/brodi
brodo	brodo: 代ブリディその4[x1 を始めとするPS全体が文脈次第] https://jbovlaste.lojban.org/dict/brodo
brodu	brodu: 代ブリディその5[x1 を始めとするPS全体が文脈次第] https://jbovlaste.lojban.org/dict/brodu
bruna	bruna (bun, bu'a): x1 は x2 の、 x3 (血縁関係)による兄 / 弟 https://jbovlaste.lojban.org/dict/bruna
bunre	bunre (bur, bu'e): x1 は茶色 / 黄褐色 / 小麦色 https://jbovlaste.lojban.org/dict/bunre
cabna	cabna (cab): x1 は x2 と同時; x1 は現在 / 今 https://jbovlaste.lojban.org/dict/cabna
cacra	cacra: x1 の継続時間は x2 (数)時間、 x3 (基準)で; x1 は x2 (数)時間かかる https://jbovlaste.lojban.org/dict/cacra
cadzu	cadzu (dzu): x1 は x2 (表面)を x3 (肢)で歩く https://jbovlaste.lojban.org/dict/cadzu
cafne	cafne (caf): x1 (事)は x2 (基準)において頻繁 / しょっちゅう / 頻発する / よくある https://jbovlaste.lojban.org/dict/cafne
canci	canci: x1 は地点 x2 において感覚器 / センサー x3 の視界から消える https://jbovlaste.lojban.org/dict/canci
canko	canko (ca'o): x1 は x2 (壁 / 建物 / 構造)の窓 / 門 / 入口 / 出口 / 玄関 https://jbovlaste.lojban.org/dict/canko
catke	catke (ca'e): x1 は x2 (対象本体)・ x3 (対象箇所)を押す https://jbovlaste.lojban.org/dict/catke
catlu	catlu (cta): x1 は x2 を見る / 見つめる / 見入る https://jbovlaste.lojban.org/dict/catlu
catra	catra: x1 は x2 を x3 (動作 / 方法)で殺す https://jbovlaste.lojban.org/dict/catra
caxno	caxno (cax): x1 は x2 (方向 / 性質)に関して x3 (照合枠)・ x4 (基準)で浅い / 浅はか / 薄い https://jbovlaste.lojban.org/dict/caxno
cecmu	cecmu (cem, ce'u): x1 は x2 (有機体)の共同体 / 社会 / コミュニティ / 群落 / 集団営巣地 / 植民地 https://jbovlaste.lojban.org/dict/cecmu
cedra	cedra: x1 は x2 (事 / 物 / 性質 / 間隔)を特徴とする時代 / 時期 / 年代 https://jbovlaste.lojban.org/dict/cedra
cenba	cenba (cne): x1 は x2 (性質)に関して x3 (数量 / 度合)ほど x4 (環境条件)において変化 / 変質 / 変身する / 変わる https://jbovlaste.lojban.org/dict/cenba
cerni	cerni (cer): x1 は x2 (日)・ x3 (所)の朝 https://jbovlaste.lojban.org/dict/cerni
cfari	cfari (cfa): x1 (事 / 状態)は始まる / 開始する https://jbovlaste.lojban.org/dict/cfari
ciblu	ciblu (blu): x1 は x2 (生体)の血 / 血液 https://jbovlaste.lojban.org/dict/ciblu
cidja	cidja (dja): x1 は x2 (摂食者)のための食べ物 / 食糧 / 餌; x1 は x2 に栄養価を与える; x1 は食用 https://jbovlaste.lojban.org/dict/cidja
cifnu	cifnu (cif): x1 は x2 (生物種)の幼児 / 赤ちゃん https://jbovlaste.lojban.org/dict/cifnu
cikna	cikna (cik): x1 は目覚めている https://jbovlaste.lojban.org/dict/cikna
cikre	cikre: x1 は x2 を x3 (使用)のために修理 / 修復 / 修繕する / 直す https://jbovlaste.lojban.org/dict/cikre
cilmo	cilmo (cim): x1 は x2 (液体)で湿っている / 濡れている / じめじめしている; x1 はしけている https://jbovlaste.lojban.org/dict/cilmo
cilre	cilre (cli): x1 は x2 (命題)・ x3 (題目)を x4 (情報源)から x5 (方法)によって習う https://jbovlaste.lojban.org/dict/cilre
cinba	cinba: x1 は x2 (対象本体)・ x3 (対象箇所)にキス / 接吻 / くちづけする https://jbovlaste.lojban.org/dict/cinba
cinki	cinki: x1 は x2 (種類)の昆虫綱(甲虫 / チョウ / ハエ / ハチ / カメムシ / バッタ / トンボ…目) https://jbovlaste.lojban.org/dict/cinki
cinmo	cinmo (cni): x1 は x2 (感情)を x3 について覚える; x1 は感情的 / ムードに浸っている https://jbovlaste.lojban.org/dict/cinmo
cinri	cinri (ci'i): x1 (事)は x2 の関心を惹く; x2 は x1 に関心がある https://jbovlaste.lojban.org/dict/cinri
cipni	cipni (cpi): x1 は x2 (種類)のトリ綱(ダチョウ / キジ / カモ / カッコウ / オウム / ツバメ / フクロウ / ハト / ツル / コウノトリ / ペリカン / フラミンゴ / ペンギン…目) https://jbovlaste.lojban.org/dict/cipni
cipra	cipra (cip): x1 (過程 / 事)は x2 (性質)を x3 について確かめる試験 / 実験 / テスト https://jbovlaste.lojban.org/dict/cipra
cirko	cirko (cri): x1 は x2 (物 / 者)を x3 (所)で失う; x1 は x2 (性質)を x3 (状況)で失う https://jbovlaste.lojban.org/dict/cirko
ciska	ciska (ci'a): x1 は x2 (文字列)を x3 (媒体)に x4 (道具)で書く https://jbovlaste.lojban.org/dict/ciska
cisma	cisma: x1 はほほえむ / にやつく https://jbovlaste.lojban.org/dict/cisma
citka	citka (cti): x1 は x2 を食べる https://jbovlaste.lojban.org/dict/citka
citno	citno (cit, ci'o): x1 は x2 (基準)において若い https://jbovlaste.lojban.org/dict/citno
citsi	citsi: x1 は x2 (性質 / 周期特性)・ x3 (年)の季節 https://jbovlaste.lojban.org/dict/citsi
ckafi	ckafi (kaf): x1 は x2 (種類)のコーヒー https://jbovlaste.lojban.org/dict/ckafi
ckana	ckana (cka): x1 は x2 (素材)の、 x3 (者 / 物 / 事)を支えるための寝台 / ベッド https://jbovlaste.lojban.org/dict/ckana
ckape	ckape (cap): x1 は x2 にとって x3 (条件)において危険; x1 はおっかない https://jbovlaste.lojban.org/dict/ckape
ckasu	ckasu (cas): x1 は x2 (者)を x3 (事 / 性質)について x4 (行為)で嘲る / 笑いものにする / ばかにする / ひやかす https://jbovlaste.lojban.org/dict/ckasu
ckiku	ckiku (kik): x1 は x2 (錠)・ x3 (特性)の鍵 https://jbovlaste.lojban.org/dict/ckiku
ckini	ckini (ki'i): x1 は x2 と x3 (関係性)によって繋がりがある / 同系 https://jbovlaste.lojban.org/dict/ckini
ckire	ckire (kir): x1 (者)は x2 (者)に x3 (事 / 性質)を感謝する; x2 が x3 をしたことについて x1 はありがたく思う; x3 であることはありがたい https://jbovlaste.lojban.org/dict/ckire
ckule	ckule (kul, cu'e): x1 は x2 (所)で x3 (科目)を x4 (聴衆)に教える、 x5 (者)によって営まれている教育機関 / 学習施設 https://jbovlaste.lojban.org/dict/ckule
clani	clani (cla): x1 は x2 (次元 / 方向)・ x3 (照合枠)において長い https://jbovlaste.lojban.org/dict/clani
claxu	claxu (cau): x1 は x2 を欠く; x1 は x2 無し https://jbovlaste.lojban.org/dict/claxu
clira	clira (lir): x1 (事)は x2 (照合枠)において早い https://jbovlaste.lojban.org/dict/clira
clite	clite (lit): x1 は x2 (事)に際し、 x3 (照合枠)において礼儀正しい / 行儀が良い https://jbovlaste.lojban.org/dict/clite
cliva	cliva (liv, li'a): x1 は x2 から x3 (経路)によって離れる / 発つ / 別れる / 去る; x1 は x2 を残す https://jbovlaste.lojban.org/dict/cliva
cmalu	cmalu (cma): x1 は x2 (性質)に関して、 x3 (比較対象)の中で小さい https://jbovlaste.lojban.org/dict/cmalu
cmana	cmana (ma'a): x1 は x2 から突き出ている山 https://jbovlaste.lojban.org/dict/cmana
cmavo	cmavo (ma'o): x1 (文字列)は x2 (品詞)・ x3 (意味 / 機能)・ x4 (言語)の機能語 https://jbovlaste.lojban.org/dict/cmavo
cmene	cmene (cme, me'e): x1 (文字列)は x2 の、 x3 (者)による名称; x3 は x2 を x1 と呼ぶ; x2 は x1 と呼ばれている https://jbovlaste.lojban.org/dict/cmene
cmila	cmila (mi'a): x1 は笑う / 笑い声をあげる https://jbovlaste.lojban.org/dict/cmila
cmima	cmima (mim, cmi): x1 は x2 (集合)の成員 / メンバー; x1 は x2 に属する https://jbovlaste.lojban.org/dict/cmima
cnino	cnino (nin, ni'o): x1 は x2 (者)にとって、 x3 (性質)・ x4 (基準)に関して新しい https://jbovlaste.lojban.org/dict/cnino
cnita	cnita (nit, ni'a): x1 は x2 に対して x3 (照合枠)における下方 / 下側 https://jbovlaste.lojban.org/dict/cnita
condi	condi (con, cno): x1 は x2 (性質 / 方向)に関して x3 (照合枠)・ x4 (標準)において深い https://jbovlaste.lojban.org/dict/condi
cortu	cortu (cor, cro): x1 (者)は x2 (箇所)に痛みを感じる; x2 が痛い https://jbovlaste.lojban.org/dict/cortu
cpacu	cpacu (cpa): x1 は x2 (対象)を x3 (起源)から入手する https://jbovlaste.lojban.org/dict/cpacu
cpana	cpana: x1 は x2 (表面)の上に(置いて / 立って)在る、 x3 (観点)で https://jbovlaste.lojban.org/dict/cpana
cpedu	cpedu (cpe): x1 は x2 (事)を x3 (者)に x4 (態度 / 方法)で頼む https://jbovlaste.lojban.org/dict/cpedu
cpina	cpina: x1 は x2 (味覚者)にとってからい / スパイシー https://jbovlaste.lojban.org/dict/cpina
crane	crane (cra): x1 は x2 (比較対象)・ x3 (照合枠)の前方 / 前側 https://jbovlaste.lojban.org/dict/crane
creka	creka (cek): x1 は x2 (素材)の上着 / トップス https://jbovlaste.lojban.org/dict/creka
crino	crino (ri'o): x1 は緑色 https://jbovlaste.lojban.org/dict/crino
crisa	crisa (cis): x1 は x2 (年)・ x3 (所)の夏季 https://jbovlaste.lojban.org/dict/crisa
critu	critu: x1 は x2 (年)・ x3 (所)の秋季 https://jbovlaste.lojban.org/dict/critu
ctino	ctino (ti'o): x1 は x2 (物)・ x3 (光)の陰 / 影 https://jbovlaste.lojban.org/dict/ctino
ctuca	ctuca (ctu): x1 は x2 (生徒 / 門下生)に x3 (命題)・ x4 (題目)を x5 (方法)で教える https://jbovlaste.lojban.org/dict/ctuca
cukla	cukla (cuk): x1 は(二次元的に)円い; x1 は円 / ディスク https://jbovlaste.lojban.org/dict/cukla
cukta	cukta (cku): x1 は x2 (内容)・ x3 (著者)・ x4 (読者)・ x5 (媒体)の本 / 文献 https://jbovlaste.lojban.org/dict/cukta
culno	culno (clu): x1 は x2 で充溢 / 充満している https://jbovlaste.lojban.org/dict/culno
cumki	cumki (cum, cu'i): x1 (事)は x2 (条件)においてありえる / 可能; x1 は可能性 https://jbovlaste.lojban.org/dict/cumki
cupra	cupra (pra): x1 は x2 (物)を x3 (過程)によって生産 / 産出 / 製造する https://jbovlaste.lojban.org/dict/cupra
curmi	curmi (cru): x1 (者)は x2 (事)を x3 (条件)において許容 / 許可する https://jbovlaste.lojban.org/dict/curmi
curnu	curnu (cur): x1 は x2 (種類)の無脊椎動物(ミミズ / クラゲ / イカ等) https://jbovlaste.lojban.org/dict/curnu
cusku	cusku (cus, sku): x1 (者)は x2 (内容)を x3 (聴衆)に x4 (媒体)で表す / 言う / 表現する https://jbovlaste.lojban.org/dict/cusku
cutci	cutci (cuc): x1 は x2 (足 / ひづめ)を覆う / 守るための x3 (素材)の靴 https://jbovlaste.lojban.org/dict/cutci
cutne	cutne (cut): x1 は x2 (本体)の胸 / 胸腔 https://jbovlaste.lojban.org/dict/cutne
cuxna	cuxna (cux, cu'a): x1 は x2 (選択肢)を x3 (集合)から選ぶ https://jbovlaste.lojban.org/dict/cuxna
dakli	dakli: x1 は x2 (内容)・ x3 (素材)の鞄 / バッグ / リュックサック https://jbovlaste.lojban.org/dict/dakli
danfu	danfu (daf): x1 は x2 (質問 / 問題)に対する解答 / 回答 / 返答 https://jbovlaste.lojban.org/dict/danfu
danlu	danlu (dal, da'u): x1 は x2 (種類)の動物 https://jbovlaste.lojban.org/dict/danlu
dargu	dargu (dag): x1 は x2 (終点)・ x3 (起点)・ x4 (経路)の道路 / 車道 https://jbovlaste.lojban.org/dict/dargu
darno	darno (dar, da'o): x1 は x2 から x3 (性質)に関して遠い https://jbovlaste.lojban.org/dict/darno
darxi	darxi (dax, da'i): x1 は x2 を、 x3 (道具など) が x4 にぶつかる形で打つ / 叩く https://jbovlaste.lojban.org/dict/darxi
daski	daski: x1 は x2 (物)のためのポケット / ポーチ / 小物入れ https://jbovlaste.lojban.org/dict/daski
dasni	dasni (das): x1 は x2 を x3 (着用様式)で着ている / 履いている / 被っている / 身に付けている https://jbovlaste.lojban.org/dict/dasni
daspo	daspo (spo): x1 (事)は x2 を破壊する / 破滅させる / 倒す; x1 は破壊的 https://jbovlaste.lojban.org/dict/daspo
degji	degji (deg): x1 は x2 (本体)・ x3 (箇所 / 肢)の指 https://jbovlaste.lojban.org/dict/degji
denpa	denpa (dep, de'a): x1 は x2 (事)を x3 (状態)ながら待つ、 x4 (事)の開始以前 / 再開以前に https://jbovlaste.lojban.org/dict/denpa
dertu	dertu (der, de'u): x1 は x2 (所 / 起源)・ x3 (成分)の土壌 / つち https://jbovlaste.lojban.org/dict/dertu
detri	detri (det): x1 (数)は x2 (事)・ x3 (所)・ x4 (暦)の日付 https://jbovlaste.lojban.org/dict/detri
dicra	dicra (dir): x1 (事)は x2 (物 / 事)を x3 (妨害性質)によって阻止 / 中断 / 妨害する https://jbovlaste.lojban.org/dict/dicra
dinju	dinju (dij, di'u): x1 は x2 (目的)のための建造物 https://jbovlaste.lojban.org/dict/dinju
dirba	dirba (dib): x1 は x2 (者)にとって貴重 / あいらしい / 大切 https://jbovlaste.lojban.org/dict/dirba
dizlo	dizlo (diz, dzi): x1 は x2 (照合枠)・ x3 (基点)において低い https://jbovlaste.lojban.org/dict/dizlo
djacu	djacu (jac, jau): x1 は水; x1 は水溶性 / 含水の https://jbovlaste.lojban.org/dict/djacu
djedi	djedi (dje, dei): x1 は x2 (数)・ x3 (基準)の満日 https://jbovlaste.lojban.org/dict/djedi
djica	djica (dji): x1 は x2 (事)を x3 (目的)のために欲する / 求める; x1 は x3 (目的)のために x2 (事)という欲求を満たしたい https://jbovlaste.lojban.org/dict/djica
djuno	djuno (jun, ju'o): x1 は x2 (命題)・ x3 (題目)を x4 (認識体系)で知る https://jbovlaste.lojban.org/dict/djuno
donri	donri (dor, do'i): x1 は x2 (日)・ x3 (所)の昼間 / 日中; x1 は昼行性 https://jbovlaste.lojban.org/dict/donri
drani	drani (dra): x1 は x2 (性質)に関して x3 (状況)のとき x4 (基準)において正しい / 正確 / 適宜 https://jbovlaste.lojban.org/dict/drani
drudi	drudi (rud, dru): x1 は x2 (本体)の屋根 / 天井 / 屋上 / 蓋 https://jbovlaste.lojban.org/dict/drudi
dunda	dunda (dud, du'a): x1 は x2 を x3 (者)に与える / 贈る / 授ける https://jbovlaste.lojban.org/dict/dunda
dunli	dunli (dun, du'i): x1 は x2 と x3 (性質)に関して同等 https://jbovlaste.lojban.org/dict/dunli
dunra	dunra (dur): x1 は x2 (年)・ x3 (所)の冬季 https://jbovlaste.lojban.org/dict/dunra
facki	facki (fak, fa'i): x1 は x2 (命題)を x3 (題目)について発見する; x1 は x3 (物)を見つける / 探し当てる https://jbovlaste.lojban.org/dict/facki
fadni	fadni (fad): x1 は x2 (性質)・ x3 (集合)において平凡 / 通常 / 普通 https://jbovlaste.lojban.org/dict/fadni
fagri	fagri (fag): x1 は x2 (燃料)・ x3 (酸化料)による火 / 炎 https://jbovlaste.lojban.org/dict/fagri
fange	fange: x1 は x2 にたいして x3 (性質)の点で異質 / 外来 / 別世界的 / 風変わり https://jbovlaste.lojban.org/dict/fange
fanmo	fanmo (fam, fa'o): x1 は x2 (物 / 過程)の終わり https://jbovlaste.lojban.org/dict/fanmo
fanza	fanza (faz): x1 (事)は x2 の気に障る / をいらいらさせる; x2 は x1 で苛つく; x1 は邪魔 https://jbovlaste.lojban.org/dict/fanza
farna	farna (far, fa'a): x1 は x2 (物 / 事)・ x3 (照合枠)の向き / 方向 / 方角; x3 から観て x2 は x1 のほうにある https://jbovlaste.lojban.org/dict/farna
fendi	fendi (fed): x1 (者)は x2 を x3 (部分 / 個)に x4 (方法 / 区分)によって分ける https://jbovlaste.lojban.org/dict/fendi
fengu	fengu (feg, fe'u): x1 は x2 (者)にたいして x3 (事 / 性質)について憤慨している / 怒っている https://jbovlaste.lojban.org/dict/fengu
fetsi	fetsi (fet, fe'i): x1 は x2 (生物種)の、 x3 (体現性質)に基づく女性 / 雌; x1 は女性的 https://jbovlaste.lojban.org/dict/fetsi
finpe	finpe (fip, fi'e): x1 は x2 (種類)の魚 https://jbovlaste.lojban.org/dict/finpe
finti	finti (fin, fi'i): x1 は x2 を x3 (目的 / 機能)のために x4 (既存要素)から創る / 発明する / 著する; x1 は創作的 https://jbovlaste.lojban.org/dict/finti
fliba	fliba (fli): x1 は x2 (事)に失敗する; x1 は x2 を怠る https://jbovlaste.lojban.org/dict/fliba
flira	flira (fir): x1 は x2 (本体)の顔; x1 は表情的 https://jbovlaste.lojban.org/dict/flira
fraxu	fraxu (fax): x1 は x2 を x3 (事)について許す / 容赦する https://jbovlaste.lojban.org/dict/fraxu
frica	frica (fic): x1 は x2 と、 x3 (性質)に関して違う / 異なる https://jbovlaste.lojban.org/dict/frica
frili	frili (fil): x1 (事)は x2 (者)にとって x3 (条件)において簡単 / 容易; x2 は x1 をた易くこなす https://jbovlaste.lojban.org/dict/frili
fulta	fulta (ful, flu): x1 は x2 (気体 / 液体)に浮かぶ; x1 は浮遊物 https://jbovlaste.lojban.org/dict/fulta
funca	funca (fun, fu'a): x1 (事 / 性質)は x2 の運; x1 はまぐれ / めぐり合わせ https://jbovlaste.lojban.org/dict/funca
gacri	gacri (gai): x1 は x2 の覆い / 蓋 / カバー; x1 は x2 に被さっている https://jbovlaste.lojban.org/dict/gacri
galfi	galfi (gaf, ga'i): x1 は x2 を x3 に改変する / 変える https://jbovlaste.lojban.org/dict/galfi
galtu	galtu (gal, ga'u): x1 は x2 (照合枠)・ x3 (基点)において高い https://jbovlaste.lojban.org/dict/galtu
galxe	galxe: x1 は x2 (本体)の喉 / 咽喉 / 食道 https://jbovlaste.lojban.org/dict/galxe
ganlo	ganlo (ga'o): x1 は x2 (到達されないもの / 所)にたいして x3 (通過を妨げられているもの)にとって閉まっている; x1 は x3 が x2 へ達することを妨げる https://jbovlaste.lojban.org/dict/ganlo
ganra	ganra (gan): x1 は x2 (次元)・ x3 (基準)において広い / 幅がある / ワイド https://jbovlaste.lojban.org/dict/ganra
ganse	ganse (gas, ga'e): x1 (者)は x2 (性質)を x3 (手段)によって、 x4 (環境条件)のもと感知 / 感得する / 感じ取る; x1 は x2 にたいして敏感 / センシティヴ https://jbovlaste.lojban.org/dict/ganse
gapci	gapci (gac): x1 は x2 (成分)・ x3 (条件)の気体 / ガス https://jbovlaste.lojban.org/dict/gapci
