badri	badri (dri): x1 は x2 (事)について悲しい / 落胆している; x2 は x1 を悲しませる https://jbovlaste.lojban.org/dict/badri
pilno	pilno (pli): x1 は x2 (道具 / 機械 / 者)を x3 (目的)のために使う / 用いる https://jbovlaste.lojban.org/dict/pilno
pinca	pinca: x1 は x2 (生体)の尿 https://jbovlaste.lojban.org/dict/pinca
pinsi	pinsi (pis): x1 は芯 / 先端 x2 (材質)・支持部 x3 (材質)の鉛筆 / クレヨン / 筆 https://jbovlaste.lojban.org/dict/pinsi
pinxe	pinxe (pix): x1 は x2 (液体)を x3 (容器 / 起源)から飲む https://jbovlaste.lojban.org/dict/pinxe
pixra	pixra (pir, xra): x1 は x2 (主題)・ x3 (作者)・ x4 (媒体)の絵 / 画 / 写真 / 造形; x3 は x2 を描いて x1 を創る https://jbovlaste.lojban.org/dict/pixra
platu	platu (pla): x1 (者)は x2 (物 / 事)を x3 (事)のために計画 / 設計 / デザインする / 企てる https://jbovlaste.lojban.org/dict/platu
pleji	pleji (lej, le'i): x1 は x2 (金 / 報酬)を x3 (者)に x4 (対価 / 商品 / サービス)のために支払う https://jbovlaste.lojban.org/dict/pleji
plipe	plipe (pip, pi'e): x1 (者 / 物)は x2 (終点)に x3 (起点)から x4 (高さ)ほど x5 (動力)によって跳躍 / ジャンプする https://jbovlaste.lojban.org/dict/plipe
plita	plita (pit): x1 は x2 (点の集合)による二次元の面(平面) https://jbovlaste.lojban.org/dict/plita
pluja	pluja (luj): x1 は x2 (性質)が x3 (基準)において複雑 / 煩雑 https://jbovlaste.lojban.org/dict/pluja
pluka	pluka (puk, pu'a): x1 (事)は x2 にとって、 x3 (条件)のもと快い / 心地良い https://jbovlaste.lojban.org/dict/pluka
ponse	ponse (pos, po'e): x1 は x2 を x3 (法 / 慣習)のもと所有する https://jbovlaste.lojban.org/dict/ponse
porpi	porpi (pop, po'i): x1 は砕けて / 壊れて x2 (破片)になる https://jbovlaste.lojban.org/dict/porpi
prami	prami (pam, pa'i): x1 は x2 を愛する / にたいして愛情が湧く https://jbovlaste.lojban.org/dict/prami
prenu	prenu (pre): x1 は(心理学上の)人; x1 は人格を有する https://jbovlaste.lojban.org/dict/prenu
preti	preti (ret, rei): x1 (文字列)は x2 (題目)に関する、 x3 (者)から x4 (者)への質問 / 質疑 https://jbovlaste.lojban.org/dict/preti
pritu	pritu: x1 は x2 に対して x3 (照合枠)における右方 / 右側 https://jbovlaste.lojban.org/dict/pritu
pulji	pulji: x1 は x2 (法 / 治安)を守る警察(官) https://jbovlaste.lojban.org/dict/pulji
punji	punji (puj, pu'i): x1 は x2 を x3 (所)に置く / 設置する https://jbovlaste.lojban.org/dict/punji
purci	purci (pur, pru): x1 は x2 (時点)よりも以前 / 過去; x1 は先人 https://jbovlaste.lojban.org/dict/purci
rafsi	rafsi (raf): x1 (文字列)は x2 (語)の x3 (部位 / 性質)に由来する、 x4 (言語)の形態素 / 語基 / 語幹 / 接辞 https://jbovlaste.lojban.org/dict/rafsi
ralju	ralju (ral): x1 は x2 (集合)・ x3 (性質)において主要 / 大本 https://jbovlaste.lojban.org/dict/ralju
ranji	ranji (ra'i): x1 (事 / 性質)は x2 (時間 / 期間)にわたって継続する / 続く https://jbovlaste.lojban.org/dict/ranji
rapli	rapli (rap): x1 (動作)は x2 (回数)にわたって繰り返す / 循環 / 反復する https://jbovlaste.lojban.org/dict/rapli
rarna	rarna (rar): x1 は自然 / 天然 / 本能的 / 自発的 https://jbovlaste.lojban.org/dict/rarna
rectu	rectu (rec, re'u): x1 は x2 (生体)の肉 https://jbovlaste.lojban.org/dict/rectu
remna	remna (rem, re'a): x1 は生物学的ヒト / ホモサピエンス https://jbovlaste.lojban.org/dict/remna
renro	renro (rer, re'o): x1 は x2 を x3 (方向)に投げる https://jbovlaste.lojban.org/dict/renro
renvi	renvi (rev, re'i): x1 は x2 (事)を x3 (時間 / 期間)にわたって耐え抜く / 辛抱する / 我慢する; x1 は長持ちする https://jbovlaste.lojban.org/dict/renvi
respa	respa (res): x1 は x2 (種類)の爬虫綱 / 爬虫類(カメ / トカゲ / ヘビ / ワニ) https://jbovlaste.lojban.org/dict/respa
rigni	rigni (rig): x1 は x2 (者)にとって x3 (条件)において不快 / 不愉快 / いまいましい / 吐き気をもよおさせる; x2 は x1 に愛想を尽かす / 嫌悪感を覚える https://jbovlaste.lojban.org/dict/rigni
rinka	rinka (rik, ri'a): x1 (事)は x2 (事)を x3 (条件)において引き起こす https://jbovlaste.lojban.org/dict/rinka
rirni	rirni (rir): x1 は x2 の育ての親 / 保護者 / 保育者 / 養育者; x1 は x2 を育てる https://jbovlaste.lojban.org/dict/rirni
rirxe	rirxe (ri'e): x1 は x2 (土地)の x3 (流域)が x4 (河口)に流れる河川 https://jbovlaste.lojban.org/dict/rirxe
ruble	ruble (rub, ble): x1 は x2 (性質)・ x3 (基準)において弱い / ひ弱 / 虚弱 / 微弱 / 華奢 https://jbovlaste.lojban.org/dict/ruble
rutni	rutni (run): x1 は民族 x2 が作った / 生み出した人工物 / 人為的な物 https://jbovlaste.lojban.org/dict/rutni
sampu	sampu (sap): x1 は x2 (性質)に関して簡単 / 単純 https://jbovlaste.lojban.org/dict/sampu
sance	sance (sna): x1 は x2 が発する音; x2 は音がする https://jbovlaste.lojban.org/dict/sance
sanga	sanga (sag, sa'a): x1 は x2 (音楽)を x3 (聴衆)に歌う / 詠唱する https://jbovlaste.lojban.org/dict/sanga
sanli	sanli (sa'i): x1 は x2 (所)に x3 (脚 / 支え)で立つ https://jbovlaste.lojban.org/dict/sanli
sanmi	sanmi (sai): x1 (群)は x2 (品 / コース)の食事 / ごはん https://jbovlaste.lojban.org/dict/sanmi
sarcu	sarcu (sa'u): x1 (抽象)は x2 (状態 / 過程)のために x3 (条件)のもと必須 / 欠かせない https://jbovlaste.lojban.org/dict/sarcu
savru	savru (sav, vru): x1 は x2 (者)・ x3 (知覚体系)にたいする騒音 / ノイズ https://jbovlaste.lojban.org/dict/savru
sazri	sazri (saz): x1 は x2 を x3 (目的)のために操作する https://jbovlaste.lojban.org/dict/sazri
sefta	sefta (sfe): x1 は x2 (もの)・ x3 (側)・ x4 (境)の表面 https://jbovlaste.lojban.org/dict/sefta
senpi	senpi (sen): x1 は x2 (命題)の真実性を疑う; x2 は信憑性に欠ける https://jbovlaste.lojban.org/dict/senpi
senva	senva (sev, sne): x1 は x2 (事)を夢見る; x2 は夢想 / 幻想 https://jbovlaste.lojban.org/dict/senva
serti	serti (ser): x1 は x2 (構造)・ x3 (段数)の階段 https://jbovlaste.lojban.org/dict/serti
sidju	sidju (dju): x1 は x2 (者)を x3 (行動 / 事)に関して助ける https://jbovlaste.lojban.org/dict/sidju
simlu	simlu (mlu): x1 は x2 (性質)であるよう x3 (者)に x4 (状態条件)の下で見受けられる; x1 は x2 らしい気が x3 にする https://jbovlaste.lojban.org/dict/simlu
simsa	simsa (smi): x1 は x2 に、 x3 (性質)の点で似ている / 相似的; x1 は x2 のよう https://jbovlaste.lojban.org/dict/simsa
simxu	simxu (sim, si'u): x1 (集合)は x2 (事 / 性質)の点で相互的 / 共通し合っている https://jbovlaste.lojban.org/dict/simxu
sinma	sinma (si'a): x1 は x2 を尊重・尊敬する; x2 は尊い https://jbovlaste.lojban.org/dict/sinma
sipna	sipna (sip): x1 は寝ている; x1 は眠る https://jbovlaste.lojban.org/dict/sipna
sirji	sirji (sir): x1 は x2 ・ x3 の間でまっすぐ / 直線的 / 直接的 https://jbovlaste.lojban.org/dict/sirji
sisti	sisti (sti): x1 (者)は x2 (動作 / 過程 / 状態)をやめる / 中止 / 終了する https://jbovlaste.lojban.org/dict/sisti
skaci	skaci: x1 は x2 (素材)のスカート / キルト https://jbovlaste.lojban.org/dict/skaci
skami	skami (sam): x1 は x2 (目的 / 機能)のコンピュータ https://jbovlaste.lojban.org/dict/skami
skapi	skapi (kap): x1 は x2 (起源)の(特に動物性の)革 / 皮膚 / 肌 https://jbovlaste.lojban.org/dict/skapi
skari	skari (ska): x1 は x2 (色相)の、 x3 (視覚者)にたいする、 x4 (条件)における色 https://jbovlaste.lojban.org/dict/skari
skicu	skicu (ski): x1 (者)は x2 (物 / 事 / 状態)を x3 (者)に x4 (表現 / 文字列)によって描写 / 叙述する https://jbovlaste.lojban.org/dict/skicu
slabu	slabu (sau): x1 は x2 (者)にとって x3 (性質)の点で x4 (観点)から判断してなじみがある https://jbovlaste.lojban.org/dict/slabu
slari	slari (sar): x1 は x2 (者)にとってすっぱい https://jbovlaste.lojban.org/dict/slari
sligu	sligu (lig): x1 は x2 (成分 / 物質)の x3 (条件)における固体 https://jbovlaste.lojban.org/dict/sligu
smadi	smadi: x1 は x2 (命題)を、 x3 (題目)について推測する https://jbovlaste.lojban.org/dict/smadi
smoka	smoka (smo): x1 は x2 (素材)の靴下 / ストッキング / タイツ https://jbovlaste.lojban.org/dict/smoka
snada	snada (sad): x1 (者)は x2 (成果)を x3 (努力 / 試み)によって達成する / 成功させる https://jbovlaste.lojban.org/dict/snada
snanu	snanu (nan): x1 は x2 に対して x3 (照合枠)における南方 / 南側 https://jbovlaste.lojban.org/dict/snanu
snidu	snidu (nid): x1 は x2 (数量)の、 x3 (基準)における秒 https://jbovlaste.lojban.org/dict/snidu
snura	snura (nur, nu'a): x1 は x2 (事 / 危険)にたいして安全 https://jbovlaste.lojban.org/dict/snura
solri	solri (sol): x1 は x2 (惑星)・ x3 (惑星に住む種族)の太陽 https://jbovlaste.lojban.org/dict/solri
sonci	sonci (son, soi): x1 は x2 (隊)の戦士 / 兵士 / 闘士 https://jbovlaste.lojban.org/dict/sonci
sovda	sovda (sov, so'a): x1 は x2 (生体)の卵 / 卵子 / 花粉 / 配偶子 https://jbovlaste.lojban.org/dict/sovda
spati	spati (spa): x1 は x2 (種類)の植物(草木 / 葉 / 花); x1 は植物性 https://jbovlaste.lojban.org/dict/spati
speni	speni (spe): x1 は x2 と結婚している / の配偶者、 x3 (法律 / 規則 / 慣習)のもと https://jbovlaste.lojban.org/dict/speni
spofu	spofu (pof, po'u): x1 は x2 (機能)に関して故障している / 使用不可能 https://jbovlaste.lojban.org/dict/spofu
srana	srana (ra'a): x1 は x2 に関連する / 関係がある https://jbovlaste.lojban.org/dict/srana
srasu	srasu (sas): x1 は x2 (種類)の草 / 草原 / 原っぱ https://jbovlaste.lojban.org/dict/srasu
srera	srera (sre): x1 は x2 (事)に関して、 x3 (条件)・ x4 (基準)で誤る / 間違う https://jbovlaste.lojban.org/dict/srera
sruri	sruri (rur, sru): x1 は x2 を x3 (方向 / 次元 / 面)に関して包囲する / 取り囲む https://jbovlaste.lojban.org/dict/sruri
stali	stali (sta): x1 は x2 (場 / 性質 / 状態)に留まる https://jbovlaste.lojban.org/dict/stali
stapa	stapa (tap): x1 は x2 を x3 で踏む https://jbovlaste.lojban.org/dict/stapa
stedu	stedu (sed): x1 は x2 (本体)の頭 / 頭部 https://jbovlaste.lojban.org/dict/stedu
stela	stela (tel): x1 は x2 を x3 (仕組)で封じる錠 / ロック https://jbovlaste.lojban.org/dict/stela
stici	stici (sic): x1 は x2 に対して x3 (照合枠)における西方 / 西側 https://jbovlaste.lojban.org/dict/stici
stizu	stizu (tiz): x1 は椅子 / 腰掛 / ベンチ https://jbovlaste.lojban.org/dict/stizu
stuna	stuna (sun): x1 は x2 に対して x3 (照合枠)における東方 / 東側 https://jbovlaste.lojban.org/dict/stuna
stuzi	stuzi (tuz, stu): x1 は x2 (物 / 事)の本質的 / 恒久的な場所 / 現場 https://jbovlaste.lojban.org/dict/stuzi
sudga	sudga (sud): x1 は x2 (液体)を欠いて乾燥している / 乾いている https://jbovlaste.lojban.org/dict/sudga
sumti	sumti (sum, su'i): x1 は x2 (述語 / 関数)の場所 x3 (種類 / 番号)を占める項 https://jbovlaste.lojban.org/dict/sumti
sutra	sutra (sut): x1 は x2 (動作 / 事)に関して速い / すばやい / 敏速 / 俊敏 https://jbovlaste.lojban.org/dict/sutra
tanru	tanru (tau): x1 は、 x2 が x3 を修飾し、 x4 を意味する、使用法 / 例文 x5 における複合語 https://jbovlaste.lojban.org/dict/tanru
tanxe	tanxe (tax, ta'e): x1 は x2 (内容)・ x3 (素材)の箱 / カートン https://jbovlaste.lojban.org/dict/tanxe
tatpi	tatpi (ta'i): x1 は x2 (事)によって疲労 / 疲弊している / 疲れている https://jbovlaste.lojban.org/dict/tatpi
tavla	tavla (tav, ta'a): x1 (者)は x2 (者)に x3 (題目)について x4 (言語)で話す / 語る https://jbovlaste.lojban.org/dict/tavla
taxfu	taxfu (taf, ta'u): x1 は x2 (身体部分 / 性別 / 種族)・ x3 (目的 / 機能)の衣服 / 服飾 https://jbovlaste.lojban.org/dict/taxfu
tcana	tcana: x1 は x2 (交通 / コミュニケーション / 配給のネットワーク)の駅 / 局 / ノード https://jbovlaste.lojban.org/dict/tcana
tcati	tcati: x1 は x2 (葉 / 原料)の茶 / 紅茶 / 緑茶 https://jbovlaste.lojban.org/dict/tcati
tcena	tcena (ten): x1 は x2 (範囲)にわたり x3 (次元)において x4 (通常の範囲)から伸びる / 拡張する https://jbovlaste.lojban.org/dict/tcena
tcidu	tcidu (tid): x1 は x2 (文字列)を x3 (表面 / 書物)から読む https://jbovlaste.lojban.org/dict/tcidu
tcika	tcika: x1 (時 / 分 / 秒)は x2 (事)の、 x3 (日)・ x4 (所)における時刻 https://jbovlaste.lojban.org/dict/tcika
tcima	tcima (tim, ti'a): x1 は x2 (所 / 地域)の気象 / 気候 / 天候 / 天気 https://jbovlaste.lojban.org/dict/tcima
tcita	tcita: x1 は x2 の x3 (情報)を表す札 / タグ https://jbovlaste.lojban.org/dict/tcita
temci	temci (tem, tei): x1 は x2 (時点)から x3 (時点)までの間隔 / 経過 / 時間 https://jbovlaste.lojban.org/dict/temci
terpa	terpa (tep, te'a): x1 は x2 を恐れる / 怖がる / に怯える; x2 は x1 をぎょっとさせる / 脅す https://jbovlaste.lojban.org/dict/terpa
tilju	tilju (tij): x1 は x2 (基準 / 観点)において重い https://jbovlaste.lojban.org/dict/tilju
tinbe	tinbe (tib): x1 は x2 (命令 / 規則)・ x3 (発令者)に服従する / 従う / 従順 https://jbovlaste.lojban.org/dict/tinbe
tirna	tirna (tin): x1 は x2 (対象音声)を x3 (環境音声)にたいして聞く; x2 が x1 に聞こえる; x1 には聴覚がある; x2 は可聴音 https://jbovlaste.lojban.org/dict/tirna
titla	titla (tit): x1 は x2 にとって甘い https://jbovlaste.lojban.org/dict/titla
tixnu	tixnu (tix, ti'u): x1 は x2 (親)の娘 https://jbovlaste.lojban.org/dict/tixnu
tordu	tordu (tor, to'u): x1 は x2 (方向)・ x3 (尺度)に関して短い https://jbovlaste.lojban.org/dict/tordu
trene	trene (ren, re'e): x1 は車両 x2 (群れ)・線路網 / 軌道 x3 ・原動力 x4 の列車 / 鉄道 / 電車 / 汽車 / 地下鉄 https://jbovlaste.lojban.org/dict/trene
tricu	tricu (ric): x1 は x2 (種類)の木 / 樹木 / 立ち木 https://jbovlaste.lojban.org/dict/tricu
trina	trina (tri): x1 は x2 を x3 (性質)で誘惑する; x1 は x2 にとって魅力的 https://jbovlaste.lojban.org/dict/trina
trixe	trixe (rix, ti'e): x1 は x2 に対して x3 (照合枠)における後ろ / 後方 / 後側 / 裏側 / 背後 / リア https://jbovlaste.lojban.org/dict/trixe
troci	troci (toc, toi): x1 は x2 (事 / 状態 / 性質)を x3 (手段 / 方法)で達成 / 獲得しようと努める / 努力する; x1 は x2 をやってみる https://jbovlaste.lojban.org/dict/troci
tsali	tsali (tsa): x1 は x2 (性質)に関して x3 (観点)で強い https://jbovlaste.lojban.org/dict/tsali
tsani	tsani (tan): x1 は x2 (所)の空 / 天空 https://jbovlaste.lojban.org/dict/tsani
tumla	tumla (tum, tu'a): x1 は x2 (位置)における陸 / 大地の広がり https://jbovlaste.lojban.org/dict/tumla
tunta	tunta (tun): x1 (物)は x2 を刺す / 突く / 突き刺す / つつく; x2 は x1 に刺される https://jbovlaste.lojban.org/dict/tunta
tuple	tuple (tup, tu'e): x1 は x2 (本体)の脚 https://jbovlaste.lojban.org/dict/tuple
vacri	vacri (var): x1 は x2 (領域 / 惑星)・ x3 (成分)の空気 / 大気 https://jbovlaste.lojban.org/dict/vacri
vajni	vajni (vaj, vai): x1 (物 / 事)は x2 (人 / 事)にとって、 x3 (性質 / 理由)に関して重要 / 大事 https://jbovlaste.lojban.org/dict/vajni
valsi	valsi (val, vla): x1 は x2 (意味 / 効力)を有する、 x3 (言語)の言葉 / 語彙 https://jbovlaste.lojban.org/dict/valsi
vanci	vanci (vac): x1 は x2 (日)・ x3 (所)の夕方 / 夕暮れ / 晩 https://jbovlaste.lojban.org/dict/vanci
vanju	vanju (van): x1 は x2 (果物成分)のワイン / 葡萄酒 https://jbovlaste.lojban.org/dict/vanju
vasru	vasru (vas, vau): x1 は x2 を内に含む / 包む; x1 は x2 の容器 https://jbovlaste.lojban.org/dict/vasru
vasxu	vasxu (vax, va'u): x1 は x2 (気体)を吸う / 吐く https://jbovlaste.lojban.org/dict/vasxu
vecnu	vecnu (ven, ve'u): x1 (売り手)は x2 (品物やサービス)を x3 (買い手)に x4 の額 / 費用 / 出費で売る https://jbovlaste.lojban.org/dict/vecnu
vensa	vensa (ves): x1 は x2 (年)・ x3 (所)の春季 https://jbovlaste.lojban.org/dict/vensa
verba	verba (ver, ve'a): x1 は x2 (年齢)の、 x3 (観点)での子供 https://jbovlaste.lojban.org/dict/verba
vimcu	vimcu (vic, vi'u): x1 は x2 を x3 から、 x4 だけ残して除去 / 控除する / 差し引く https://jbovlaste.lojban.org/dict/vimcu
vindu	vindu (vid): x1 は x2 にとって毒 / 中毒性がある https://jbovlaste.lojban.org/dict/vindu
vinji	vinji (vij): x1 は x2 (荷 / 乗客)・ x3 (原動力)の飛行機 / 航空機 / 飛行船 https://jbovlaste.lojban.org/dict/vinji
viska	viska (vis, vi'a): x1 は x2 を x3 (状態条件)のもと視覚する; x1 には x2 が見える; x1 には視覚能力 / 光学的感知能力がある https://jbovlaste.lojban.org/dict/viska
vitke	vitke (vi'e): x1 は x2 (者)・ x3 (所 / 事)の客; x1 は x2 ・ x3 を訪れる https://jbovlaste.lojban.org/dict/vitke
voksa	voksa (vok, vo'a): x1 は x2 (本体)の声 https://jbovlaste.lojban.org/dict/voksa
vorme	vorme (vor, vro): x1 は x2 ・ x3 間の、 x4 (構造体)の扉 / 戸口 / 出入口 / 門戸 / ドア https://jbovlaste.lojban.org/dict/vorme
vreta	vreta (vre): x1 は x2 に寄り掛かる / もたれる / 横たわる https://jbovlaste.lojban.org/dict/vreta
xabju	xabju (xa'u): x1 は x2 (所)に住む / 暮らす / 棲息 / 生息する https://jbovlaste.lojban.org/dict/xabju
xadni	xadni (xad): x1 は x2 の肉体; x1 は身体的 https://jbovlaste.lojban.org/dict/xadni
xagji	xagji: x1 は x2 に飢える; x1 は腹をすかしている / おなかがへっている; x1 は x2 (燃料 / 栄養)の補充を必要としている https://jbovlaste.lojban.org/dict/xagji
xajmi	xajmi (xam): x1 は x2 (観察者)にとって x3 (性質)の点で滑稽 / おどけている https://jbovlaste.lojban.org/dict/xajmi
xamgu	xamgu (xag, xau): x1 は x2 にとって、 x3 (基準)で良い / 好ましい https://jbovlaste.lojban.org/dict/xamgu
xampo	xampo (xap, xa'o): x1 は x2 (数)・ x3 (基準)のアンペア https://jbovlaste.lojban.org/dict/xampo
xamsi	xamsi (xas): x1 は x2 (領域 / 惑星)・ x3 (液体成分)の海 / 海洋 https://jbovlaste.lojban.org/dict/xamsi
xance	xance (xan, xa'e): x1 は x2 (本体)の手 https://jbovlaste.lojban.org/dict/xance
xanka	xanka: x1 は x2 について x3 の条件下で心配する / 不安 https://jbovlaste.lojban.org/dict/xanka
xanri	xanri (xar): x1 は x2 (者)による想像; x1 は架空 / 想像上のもの / 非現実 https://jbovlaste.lojban.org/dict/xanri
xebni	xebni (xen, xei): x1 は x2 (物 / 者 / 事)を憎む; x1 は x2 にたいする怨恨を抱いている; x2 は憎らしい https://jbovlaste.lojban.org/dict/xebni
xekri	xekri (xek, xe'i): x1 は黒色 https://jbovlaste.lojban.org/dict/xekri
xendo	xendo (xed, xe'o): x1 (者)は x2 にたいして x3 (行為)で親切 / 優しい https://jbovlaste.lojban.org/dict/xendo
xenru	xenru (xer, xe'u): x1 は x2 (事)を後悔する; x1 は x2 を残念に思う https://jbovlaste.lojban.org/dict/xenru
xlali	xlali (xla): x1 は x2 にとって、 x3 (基準)で悪い / 粗末 https://jbovlaste.lojban.org/dict/xlali
xrani	xrani (xai): x1 (事)は x2 (対象)に、 x3 (性質)に関して x4 (損傷 / ダメージ)を与える; x1 は x2 を傷つける / 傷める / 損害する https://jbovlaste.lojban.org/dict/xrani
xrula	xrula (rul): x1 は x2 (種類)の花 https://jbovlaste.lojban.org/dict/xrula
xunre	xunre (xun, xu'e): x1 は赤色 / クリムゾン https://jbovlaste.lojban.org/dict/xunre
zarci	zarci (zac, zai): x1 は x2 (取引品)・ x3 (営者)の店 / 市場 https://jbovlaste.lojban.org/dict/zarci
zasti	zasti (zat, za'i): x1 は x2 (観点)・ x3 (認識体系)において実在する https://jbovlaste.lojban.org/dict/zasti
zbasu	zbasu (zba): x1 は x2 を x3 (素材)から造る / 作る / 工作する https://jbovlaste.lojban.org/dict/zbasu
zdani	zdani (zda): x1 は x2 の(ための)巣 / 家 / ねぐら / アジト https://jbovlaste.lojban.org/dict/zdani
zdile	zdile (zdi): x1 (事)は x2 にとって x3 (性質)についておもしろい / 愉しい; x2 は x1 を楽しむ https://jbovlaste.lojban.org/dict/zdile
zekri	zekri (zer, zei): x1 (事)は x2 (観点)にとって犯罪 https://jbovlaste.lojban.org/dict/zekri
zenba	zenba (zen, ze'a): x1 は x2 (性質 / 数量)に関して x3 (度合)だけ増える https://jbovlaste.lojban.org/dict/zenba
zgana	zgana (zga): x1 は x2 (対象)を x3 (方法)・ x4 (条件)で観察 / 観賞 / 鑑賞する https://jbovlaste.lojban.org/dict/zgana
zgike	zgike (zgi, gi'e): x1 は x2 に演奏 / 制作される音楽 https://jbovlaste.lojban.org/dict/zgike
zifre	zifre (zif, zi'e): x1 は自由である、 x2 (事 / 状態)になることにおいて、 x3 という条件で https://jbovlaste.lojban.org/dict/zifre
zirpu	zirpu (zir, zi'u): x1 は紫色 / パープル https://jbovlaste.lojban.org/dict/zirpu
zmadu	zmadu (zma, mau): x1 は x2 よりも、 x3 (性質 / 数量)の点で、 x4 (度合)ほど優る / x3 が x1 には x2 よりももっとある https://jbovlaste.lojban.org/dict/zmadu
zmiku	zmiku (zmi): x1 は x2 (機能)に関して x3 (条件)で自動 https://jbovlaste.lojban.org/dict/zmiku
zukte	zukte (zuk, zu'e): x1 は x2 (行動内容)を x3 (目的 / 目標)のために行為 / 実行する https://jbovlaste.lojban.org/dict/zukte
zunle	zunle (zul): x1 は x2 に対して x3 (照合枠)における左方 / 左側 https://jbovlaste.lojban.org/dict/zunle
zutse	zutse (zut, tse): x1 は x2 (表面)に座る / 着席する https://jbovlaste.lojban.org/dict/zutse
zvati	zvati (zva): x1 (物 / 事)が x2 (事 / 所)に居る / 在る https://jbovlaste.lojban.org/dict/zvati
